Price,Close,High,Low,Open,Volume
Ticker,CAT,CAT,CAT,CAT,CAT
Date,,,,,
2018-01-02,133.35389709472656,135.34945545882562,132.49623847724666,134.4238615611498,5108400
2018-01-03,133.55770874023438,133.73604047816582,131.96126197956755,133.35390289078848,4146100
2018-01-04,135.3918914794922,135.5107749584199,133.33689822526904,134.07567320451068,4865800
2018-01-05,137.5318145751953,137.6082368963989,135.56173057976025,136.0882127356001,3945400
2018-01-08,140.9879150390625,141.32757838850725,138.03280243544936,139.35750763854054,5929200
2018-01-09,141.3275909423828,142.1597882498996,140.18970436760767,141.2426815761424,4522900
2018-01-10,140.8520050048828,142.26163212857304,139.6886447541851,140.87747910107893,5478600
2018-01-11,143.67979431152344,143.96002242064608,140.65674628437282,141.72669755411908,4199000
2018-01-12,144.61390686035156,144.92809616426763,143.70528714953784,144.35066577249444,4127900
2018-01-16,143.77325439453125,147.11050581911982,142.29570397094082,146.82177760169958,8530600
2018-01-17,143.08534240722656,144.45250851172506,143.08534240722656,143.7816689874181,5571400
2018-01-18,143.3656005859375,145.00449507204146,142.7372091222537,143.79018626096877,4668800
2018-01-19,145.3789825439453,145.4131013346362,143.84337661344247,144.71355547697254,5796700
2018-01-22,145.78843688964844,145.80550278948814,143.73243204412125,145.30216939268962,3540900
2018-01-23,144.54287719726562,146.77804130280285,144.34666492294187,146.73538306469771,5036500
2018-01-24,143.6129913330078,147.11928511270074,143.04140737599775,146.2235141583694,8241000
2018-01-25,144.49169921875,147.67381908092662,138.59670013531266,147.67381908092662,16937100
2018-01-26,142.52102661132812,144.17606757636062,140.37971810461883,144.01397405664548,9045300
2018-01-29,138.69903564453125,141.51430957581368,136.00319694585042,141.2583732152491,9496800
2018-01-30,139.70565795898438,140.51612501384756,136.33586716085927,136.7794891776065,8694800
2018-01-31,138.86968994140625,141.43755458708904,138.110420128067,140.50766483026842,7014000
2018-02-01,138.4089813232422,139.68865011611345,136.6515585796958,137.55586879466134,4323600
2018-02-02,134.3567352294922,137.18053642371814,133.53774124019307,137.15494408194013,7602800
2018-02-05,128.88827514648438,135.58520238788006,121.86716089622357,132.17275140603235,11390500
