Price,Close,High,Low,Open,Volume
Ticker,UNP,UNP,UNP,UNP,UNP
Date,,,,,
2018-01-02,115.94332885742188,115.94332885742188,114.57707436116628,115.02965642383616,4298000
2018-01-03,116.59231567382812,116.64356097698344,115.49931707212794,116.22514236009387,4653700
2018-01-04,115.96043395996094,117.73655995072905,115.7213413294317,116.84849044055942,4384900
2018-01-05,117.43770599365234,119.30776245494829,116.1824629724968,117.54017055715134,5381200
2018-01-08,119.06864929199219,119.23089350932092,117.37791913741508,117.39498787534477,5472300
2018-01-09,120.40074920654297,120.54591166686038,118.88079752842896,119.38459895474915,6390800
2018-01-10,119.29068756103516,120.74232542243473,118.46239754614282,119.69202449730562,9513700
2018-01-11,119.84571075439453,120.39221006610974,119.11135108275492,120.05063985280563,3103200
2018-01-12,120.5458984375,121.09239771089585,119.94816689309367,120.22995741322175,3268800
2018-01-16,119.81156158447266,121.41690920556528,119.39315593866617,121.31444464407355,5793300
2018-01-17,119.93966674804688,121.00704946390044,119.34192200350954,119.81157300439995,3376700
2018-01-18,119.91400909423828,120.29827720433532,119.21381297432424,120.12748558670505,3882100
2018-01-19,120.61421203613281,120.9301530592605,119.37605104946358,120.40073555465293,4592100
2018-01-22,121.22903442382812,121.32296460389638,119.64930313074504,120.69961687957323,3277400
2018-01-23,120.70814514160156,121.59620159312098,118.98325148106055,120.74229564645701,6179400
2018-01-24,120.56298065185547,122.15124620692774,119.46998210100686,120.75937536798142,5229100
2018-01-25,114.08185577392578,115.26878468598625,112.5619040168864,114.9101457013607,13806700
2018-01-26,114.61980438232422,114.9613746169061,113.3304109494046,114.26116540819238,5843300
2018-01-29,116.17389678955078,116.78016266366716,114.5173173088898,114.59416571047025,5754200
2018-01-30,115.58470916748047,117.05342843437059,115.40538318612626,115.52492949717217,5383600
2018-01-31,113.99644470214844,116.9680337696999,113.57802609461866,115.8665008235667,5699900
2018-02-01,113.04007720947266,114.2013898573696,112.59604245391968,113.15107612618252,5597600
2018-02-02,110.46126556396484,112.48501833754051,108.63390749523148,112.4252517010971,8181200
2018-02-05,106.0038833618164,112.52772425247598,105.99534247823694,109.80376220651728,6744400
2018-02-06,111.98975372314453,112.28862600037277,103.74956698893757,104.41561254946392,15734300
2018-02-07,110.11970520019531,112.56187647569065,110.10262343475287,111.29808642433687,5053000
2018-02-08,106.6186752319336,109.8976702698964,106.57597733741244,109.8976702698964,6325100
2018-02-09,108.68516540527344,109.58176940001594,103.51049661734093,107.96788742130856,9156000
