Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2018-01-02,180.5689697265625,180.7282228227546,176.71712848408478,176.84650833593108,18151900
2018-01-03,183.80372619628906,183.91321080270566,180.47939751012842,181.02682054221148,16886600
2018-01-04,183.46533203125,185.3365180379734,183.23641518592063,184.03265033266837,13880900
2018-01-05,185.97352600097656,186.0232793101108,184.06251901429675,184.71942671676715,13574500
2018-01-08,187.39678955078125,188.0138763111986,185.45593991139518,186.32185393807256,17994700
2018-01-09,186.9887237548828,187.9143691548241,186.22234664989608,187.81483216568213,12393100
2018-01-10,186.95884704589844,187.00861553550487,184.75922256507457,186.0630749818254,10529900
2018-01-11,186.88919067382812,187.5162250685007,186.50102073914078,187.5162250685007,9588600
2018-01-12,178.52857971191406,180.62868241811768,176.56781966543534,177.22472728437162,77551300
2018-01-16,177.55319213867188,180.89743136731119,177.20482787408395,180.64860408895177,36183800
2018-01-17,176.76690673828125,178.4788396488722,174.97534727519633,178.4191083440927,27992400
2018-01-18,178.95657348632812,180.13103089685436,176.24933160605107,177.2944091650246,23304900
2018-01-19,180.4395751953125,181.5145108168175,179.32483389325304,180.00165196036858,26826500
2018-01-22,184.50045776367188,184.5203681996836,179.56373273766488,179.95190271022273,21059500
2018-01-23,188.46177673339844,188.66083550811203,184.67959926499583,185.17725379538535,25678800
2018-01-24,185.67489624023438,189.76561682126058,185.64503818533134,188.99922464192593,24334500
2018-01-25,186.6005401611328,187.73519189326166,185.72467850697743,187.06833663893437,17377700
2018-01-26,189.1087188720703,189.1087188720703,185.9336805831592,186.86927351700632,17759200
2018-01-29,185.1075897216797,187.95417447136586,184.75924063478703,187.86460029364022,20453200
2018-01-30,186.2422332763672,187.2972584886988,180.98700246184683,186.73988782461504,20858600
2018-01-31,186.01332092285156,188.93953216707698,184.35115651408114,187.48637416877298,43275100
2018-02-01,192.1842498779297,194.40380032981872,187.00864507281767,187.33709893144538,54211300
2018-02-02,189.3874053955078,193.29897787126404,189.08880964215672,191.1391438614441,26677500
2018-02-05,180.4097137451172,189.71585947925897,179.76276893459863,186.0531142614743,33128200
2018-02-06,184.44073486328125,184.89858375144433,176.9062525479621,177.73236095913506,37758500
2018-02-07,179.33477783203125,184.211801302762,179.10586100232112,183.2861559863683,27601900
2018-02-08,170.775146484375,180.98701293813014,170.6756094940792,180.16090451775472,38478300
2018-02-09,175.28390502929688,176.07019262035004,166.3957859146003,173.9402315251376,39887600
2018-02-12,175.58248901367188,176.7171408256628,171.03391895449337,176.22943387971821,32092100
2018-02-13,172.3377685546875,175.14454757111807,172.28801524831223,174.79618330321944,21809400
2018-02-14,178.6779022216797,178.96653519177443,172.3975039375849,172.6363684129151,28929700
2018-02-15,179.11582946777344,179.65328969084672,176.01045479789107,179.65328969084672,20922100
2018-02-16,176.52801513671875,179.0361982153312,175.47298996517847,178.15037376118786,20645300
2018-02-20,175.18435668945312,177.11525885569642,174.28858453616257,174.94549221508885,21204900
2018-02-21,177.075439453125,180.41967852003413,175.57251304470122,175.8810716122027,23200800
2018-02-22,178.150390625,179.3646690056973,176.5778003420115,177.86174246601442,18464200
2018-02-23,182.43020629882812,182.52974328810072,178.66793894995033,179.05610890857383,19007300
2018-02-26,184.0625,184.7890865597399,182.36052998612493,183.7141509359819,17599700
2018-02-27,180.60877990722656,183.83357138463742,180.60877990722656,183.5847441317651,15849800
2018-02-28,177.48353576660156,182.02214308235156,177.30437222139437,181.44486195012547,18783000
2018-03-01,175.11468505859375,179.27506979662647,173.59186335426966,178.17027609082157,23201600
2018-03-02,175.79147338867188,176.27918027347107,172.17851199112866,172.47709254589316,20025900
2018-03-05,179.55374145507812,180.30022322141667,175.06490323422483,175.37344660102443,16189300
2018-03-06,178.93667602539062,181.52448586501552,178.26982072386542,180.92729430595986,15086800
2018-03-07,182.84823608398438,182.95772068926377,177.23469353200903,177.90154878699772,19097300
2018-03-08,181.4846649169922,183.53499931514816,180.59884039000602,182.69894328259738,17225900
2018-03-09,184.36109924316406,184.63978457452825,182.35058580792406,183.04729913633454,18526300
2018-03-12,183.893310546875,185.22703633173646,183.35585029567125,184.3611070558913,15301200
2018-03-13,181.0268096923828,185.11753037828268,180.26041749340018,184.73930809020106,18067500
2018-03-14,183.3259735107422,183.38568962286377,180.9969540147365,181.7434357906776,16821700
2018-03-15,182.99752807617188,183.13687073989857,181.33536373485663,182.38044130641245,15614300
2018-03-16,184.22174072265625,184.4606203520716,182.54962887837945,183.6245644299332,24403400
2018-03-19,171.7505340576172,176.33890956779285,169.26226133381718,176.1796564685389,88140100
2018-03-20,167.36122131347656,169.40160803302504,161.1903078489395,166.68441840634694,129851800
2018-03-21,168.5954132080078,172.5865973586535,162.5339842409996,164.02694793852154,106598800
2018-03-22,164.1165008544922,169.47126814914657,162.9519911437503,165.3506894852868,73743000
2018-03-23,158.64231872558594,165.81850410418517,158.27405921412011,164.6639418895425,53609700
2018-03-26,159.3091583251953,160.34428820442616,148.32095349477987,160.06560289552792,126116600
2018-03-27,151.50596618652344,162.0861077410022,150.04286046157284,155.57677713056634,79117000
2018-03-28,152.31214904785156,155.1487860333358,150.092614026363,150.9386176417588,60029200
2018-03-29,159.04043579101562,160.66279449804537,153.41694540194985,154.42220213430406,59434300
2018-04-02,154.66107177734375,158.4531968059537,153.38707741569027,157.06971784194513,36796000
2018-04-03,155.377685546875,156.65167982688519,150.10254491300265,155.81562392823034,42543900
2018-04-04,154.37245178222656,154.830285476133,149.8039713437707,151.31684547030457,49885600
2018-04-05,158.59254455566406,160.8120947303666,155.91516071075105,160.80213191978945,41449600
2018-04-06,156.46258544921875,160.66279101161112,156.07441551275176,156.99009805038645,41644800
2018-04-09,157.18914794921875,159.77695750426258,155.3080144884373,157.0796785355495,34915200
2018-04-10,164.2658233642578,165.2014164403815,156.27349171887099,157.189174358614,57889300
2018-04-11,165.53981018066406,167.8588669261611,162.48420407601944,164.5843068005088,56144600
2018-04-12,163.10130310058594,166.66451162652712,162.33492600139087,166.19671511807707,38263000
2018-04-13,163.74827575683594,164.9227333367475,163.0017938480813,163.80799187958218,19990600
2018-04-16,164.0568084716797,165.00234912359446,162.62356087048948,164.94263300474694,18119400
2018-04-17,167.86883544921875,168.20723689626863,164.88290816703645,165.0521088905614,22743000
2018-04-18,165.57962036132812,167.3313588874807,164.99239164478516,166.09718533911396,20969600
2018-04-19,167.31146240234375,167.54037923829648,164.42505695837133,165.42036603824914,22235000
2018-04-20,165.49998474121094,167.6398930866166,165.0321882808684,167.00289591318153,19119400
2018-04-23,165.06204223632812,167.65979935461058,164.31556048035281,166.48534201507033,23088100
2018-04-24,158.94090270996094,165.32083728854323,157.44793915294414,164.65396686833034,35079900
2018-04-25,158.94090270996094,160.30447123212886,155.45732107692177,159.38878873962383,41083600
2018-04-26,173.34304809570312,175.44315104466574,169.99880868852128,172.40745504916822,77556900
2018-04-27,172.7757110595703,176.26925588286448,171.79036472455897,175.98060772560146,29804700
2018-04-30,171.1931610107422,174.89571198711423,170.9045280611784,172.97475757377174,20750500
2018-05-01,173.04444885253906,173.20370196094183,169.43147179011453,171.19317323219084,26025900
2018-05-02,175.24407958984375,177.24464540275068,173.38284125549177,173.43260974766798,30424500
2018-05-03,173.2036895751953,175.29382952147006,171.312593219372,174.30848325651598,24026100
2018-05-04,175.78152465820312,176.14978413156555,172.24817463938948,172.2680850719851,17677800
2018-05-07,177.1351776123047,178.65799945676414,176.33892722352275,176.51809077492484,18697200
2018-05-08,178.0806884765625,178.2001206993507,176.27918157585867,177.41383325397774,15577200
2018-05-09,181.8031768798828,182.15152597752035,177.9413724352183,178.8271969902126,23282800
2018-05-10,184.65969848632812,185.25689002890425,181.64391308946358,182.2908579379112,21071400
2018-05-11,186.1128692626953,187.43663229617613,183.31603770622377,183.9829082223848,21207800
